City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Wanaka,NZ,2020-10-13 02:48:50,-44.7,169.15,61.16,47,52,11.77
246,Porto Novo,BJ,2020-10-13 02:48:50,6.5,2.6,76.5,91,100,7.34
247,Tucuma,BR,2020-10-13 02:48:50,-0.18,-50.05,79.14,81,1,8.37
248,Kalemie,CD,2020-10-13 02:48:51,-5.95,29.19,70.07,82,100,4.99
249,Hamilton,US,2020-10-13 02:45:05,39.18,-84.53,57.2,82,90,12.75
250,Cabcab,PH,2020-10-13 02:48:51,13.63,124.05,84.56,74,69,6.73
251,Magadan,RU,2020-10-13 02:48:44,59.57,150.8,43.16,90,100,28.95
252,Kimbe,PG,2020-10-13 02:48:52,-5.55,150.14,85.71,74,100,3.11
253,Cap Malheureux,MU,2020-10-13 02:48:52,-19.98,57.61,72.0,84,3,3.0
254,Dingle,PH,2020-10-13 02:48:52,11.0,122.67,84.88,77,100,8.14
255,Saldanha,ZA,2020-10-13 02:48:53,-33.01,17.94,55.4,82,29,1.12
256,Kavieng,PG,2020-10-13 02:48:53,-2.57,150.8,84.06,71,58,5.59
257,Rumuruti,KE,2020-10-13 02:48:53,0.27,36.54,58.46,78,33,3.11
258,Ahipara,NZ,2020-10-13 02:48:55,-35.17,173.17,61.54,91,81,6.82
259,Ekuvukeni,ZA,2020-10-13 02:48:55,-28.47,30.16,53.91,71,0,3.06
260,Naze,JP,2020-10-13 02:48:55,28.37,129.48,80.6,57,20,17.22
261,Tarakan,ID,2020-10-13 02:48:56,3.3,117.63,80.58,76,100,3.31
262,Channel-Port Aux Basques,CA,2020-10-13 02:48:56,47.57,-59.14,41.4,74,1,4.99
263,Yulara,AU,2020-10-13 02:48:56,-25.24,130.99,86.0,9,19,18.34
264,Dali,CN,2020-10-13 02:48:57,25.7,100.18,68.68,69,21,2.51
265,Lebedinyy,RU,2020-10-13 02:48:57,58.52,125.52,16.23,94,100,16.71
266,Olinda,BR,2020-10-13 02:48:06,-8.01,-34.86,80.6,74,75,8.05
267,Saint-Pierre,RE,2020-10-13 02:48:58,-21.34,55.48,73.4,69,90,4.7
268,San Cristobal,VE,2020-10-13 02:46:57,7.77,-72.22,65.53,90,100,3.27
269,Whitehorse,CA,2020-10-13 02:45:52,60.72,-135.05,42.8,41,75,5.82
270,Lock Haven,US,2020-10-13 02:48:58,41.14,-77.45,51.01,98,100,3.13
271,Lagoa,PT,2020-10-13 02:48:58,39.05,-27.98,69.06,72,24,13.62
272,Baghdad,IQ,2020-10-13 02:45:49,33.34,44.4,62.6,36,0,8.05
273,Zaraza,VE,2020-10-13 02:48:59,9.35,-65.32,74.01,93,93,3.02
274,Ancud,CL,2020-10-13 02:48:59,-41.87,-73.82,48.0,93,44,4.7
275,San Patricio,US,2020-10-13 02:49:00,28.02,-97.52,81.0,83,20,6.93
276,Broken Hill,AU,2020-10-13 02:49:00,-31.95,141.43,84.2,17,0,4.7
277,Maldonado,UY,2020-10-13 02:49:01,-34.67,-54.92,57.2,87,75,16.11
278,Narsaq,GL,2020-10-13 02:49:01,60.92,-46.05,41.0,75,100,10.29
279,Adrar,MR,2020-10-13 02:49:01,20.5,-10.07,84.06,41,81,6.6
280,Khatanga,RU,2020-10-13 02:49:01,71.97,102.5,27.27,98,100,15.66
281,Thompson,CA,2020-10-13 02:45:05,55.74,-97.86,35.6,93,75,21.92
282,Da Nang,VN,2020-10-13 02:45:46,16.07,108.22,77.0,94,75,2.24
283,Valdepenas,ES,2020-10-13 02:47:29,38.76,-3.38,50.0,53,0,1.36
284,Sabha,LY,2020-10-13 02:49:03,27.04,14.43,68.45,45,13,11.43
285,Tsabong,BW,2020-10-13 02:49:03,-26.02,22.4,63.0,54,0,11.74
286,Saint-Augustin,CA,2020-10-13 02:49:03,51.23,-58.65,34.0,89,0,7.29
287,Shirokiy,RU,2020-10-13 02:49:04,49.76,129.52,40.41,58,0,14.2
288,Key West,US,2020-10-13 02:49:05,24.56,-81.78,86.0,100,20,6.93
289,Cockburn Town,TC,2020-10-13 02:49:05,21.46,-71.14,83.34,78,18,13.4
290,Upernavik,GL,2020-10-13 02:49:05,72.79,-56.15,28.26,92,14,4.54
291,Iracoubo,GF,2020-10-13 02:49:05,5.48,-53.2,80.91,79,1,11.18
292,Kindu,CD,2020-10-13 02:49:06,-2.95,25.95,69.51,98,100,1.95
293,Goderich,CA,2020-10-13 02:49:06,43.75,-81.72,64.0,78,100,26.73
294,Selenduma,RU,2020-10-13 02:49:06,50.91,106.24,30.49,71,0,2.19
295,Constitucion,CL,2020-10-13 02:49:07,-35.33,-72.42,55.13,65,0,9.48
296,Traverse City,US,2020-10-13 02:49:07,44.76,-85.62,51.8,76,75,11.41
297,Birao,CF,2020-10-13 02:49:07,10.28,22.79,72.93,82,9,2.98
298,Gushikawa,JP,2020-10-13 02:49:07,26.35,127.87,80.6,61,75,10.29
299,Vuktyl,RU,2020-10-13 02:49:08,63.86,57.31,42.37,87,100,8.21
300,Timaru,NZ,2020-10-13 02:49:08,-44.4,171.25,60.01,79,4,4.0
301,San Pedro,PH,2020-10-13 02:49:08,14.35,121.02,90.0,70,75,9.17
302,Samana,DO,2020-10-13 02:49:09,19.21,-69.34,78.49,89,68,5.75
303,Port-Gentil,GA,2020-10-13 02:49:09,-0.72,8.78,76.73,86,100,16.04
